model,horizon,mae,rmse,mase,smape,directional_accuracy
moving_average,4,181.66290283203125,240.20046591177078,21.101508945181315,4.12473233864145,0.8181818181818182
patchtst,4,204.63554205729167,283.9731725494195,23.769953325124263,4.831903715450431,0.8181818181818182
chronos_original,5,176.09977925618497,255.43269781752022,20.455310408942957,3.9126432240056865,0.9090909090909091
chronos_t5_large,5,176.56727498372382,263.26281020867367,20.509613544710948,3.9197803496981662,1.0
chronos_bolt,5,177.64142071759252,251.837911664348,20.63438362962265,3.9882707062338754,0.9090909090909091
chronos_bolt_base,5,181.70323576750573,253.9309924264286,21.1061939182024,4.038382385462449,0.9090909090909091
naive,5,184.9000447591146,245.02323225381286,21.47752726409109,4.157570937118077,1.0
sarima,5,186.70155537179673,256.33745436319845,21.68678623615266,4.157754540826612,1.0
chronos_t5_base,5,188.06627604166673,257.4927440233199,21.845308779687937,4.204835407658865,0.9090909090909091
moving_average,5,205.66706949869794,294.47675502701435,23.88977297565666,4.606968977987846,0.8181818181818182
patchtst,5,255.50357421874995,339.66318236314237,29.678656857574474,5.922548787088949,0.7272727272727273
chronos_original,6,185.00412699381516,262.5750139013693,21.489617196445632,4.195633713898616,1.0
chronos_bolt_base,6,188.98116952401608,264.61236997589776,21.951580520922487,4.247038813417782,0.9090909090909091
chronos_t5_large,6,189.59722391764333,283.55743150552627,22.023139860199716,4.244632814657732,0.9090909090909091
chronos_bolt,6,190.89064534505204,269.86305605092457,22.173380461857334,4.351378027745184,1.0
chronos_t5_base,6,194.563803100586,273.796754615363,22.600045290103136,4.394306976629262,0.8181818181818182
naive,6,201.8250732421875,263.79540185327403,23.44349628894606,4.607399173610083,0.8181818181818182
sarima,6,203.43398881380298,274.85334823357584,23.630383902196836,4.597930228732501,0.9090909090909091
moving_average,6,222.97464192708335,313.349367588824,25.900177349490942,5.044325129196948,0.7272727272727273
patchtst,6,252.91980348307288,350.11331273430966,29.378532503943514,5.875695843252497,0.8181818181818182
chronos_t5_large,7,184.1814921061199,255.60735330271265,21.394061983076778,4.126298414159042,0.9090909090909091
chronos_original,7,189.56474202473945,242.33119576097369,22.0193668446694,4.331904836094837,0.9090909090909091
chronos_bolt_base,7,191.09286159939236,242.98609233409528,22.196869396765354,4.286494250363002,0.8181818181818182
chronos_bolt,7,191.28849735966426,247.09908762917522,22.21959395792241,4.358650359007336,1.0
chronos_t5_base,7,193.8163787841796,244.95539984912958,22.51322634879689,4.396150417951874,0.8181818181818182
naive,7,204.2417195638021,246.8458022109958,23.724207888165857,4.662709908966467,0.8181818181818182
sarima,7,205.19043772251874,255.51791610820155,23.83440861930316,4.6341989694388666,0.9090909090909091
moving_average,7,227.34211832682294,299.5001789976441,26.407492496833857,5.187805114415668,0.6363636363636364
patchtst,7,264.9755406901041,330.25605568846555,30.77889681910665,6.109091851747549,0.7272727272727273
chronos_t5_large,8,199.73786519368483,313.42219042303685,23.201051416496473,4.397975521789221,1.0
chronos_bolt_base,8,202.647705078125,296.96920361792223,23.539051147830357,4.467915290516896,0.9090909090909091
chronos_bolt,8,203.27866617838538,303.5018679968017,23.612342012908716,4.548252213097206,1.0
chronos_original,8,209.27327067057294,297.16583448321586,24.30866029442203,4.6995035972299375,0.9090909090909091
naive,8,216.46671549479166,302.2586574485939,25.14423287384552,4.866077335806004,0.9090909090909091
sarima,8,216.58912208522653,313.1859393330864,25.158451317582486,4.814429072389249,1.0
