model,horizon,mae,rmse,mase,smape,directional_accuracy
tft,5,220.7153323567708,329.1164644306186,25.637741594228544,5.012977639946113,0.9090909090909091
patchtst,5,255.50357421874995,339.66318236314237,29.678656857574474,5.922548787088949,0.7272727272727273
xgboost,5,1586.5977579752605,1648.5581619370028,184.29523177484077,45.829151089688196,0.18181818181818182
chronos2,6,101.96164957682292,157.75261824751402,11.843610484415345,2.3670150930704232,0.9090909090909091
sarimax,6,106.89399336315599,157.60366975857315,12.416539216178762,2.497395026637355,0.9090909090909091
chronos_t5_large,6,189.59722391764333,283.55743150552627,22.023139860199716,4.244632814657732,0.9090909090909091
xgboost_diff,6,194.73773956684195,248.5824635377089,22.620249315478567,4.569075962638194,0.7272727272727273
naive,6,201.8250732421875,263.79540185327403,23.44349628894606,4.607399173610083,0.8181818181818182
sarima,6,203.43398881380298,274.85334823357584,23.630383902196836,4.597930228732501,0.9090909090909091
moving_average,6,222.97464192708335,313.349367588824,25.900177349490942,5.044325129196948,0.7272727272727273
tft,6,234.4948530924479,353.58295772688587,27.23833629755689,5.382348899380705,0.5454545454545454
patchtst,6,252.91980348307288,350.11331273430966,29.378532503943514,5.875695843252497,0.8181818181818182
xgboost,6,1607.2440795898438,1667.8633224799294,186.6934569129585,46.321484811021385,0.18181818181818182
chronos2,7,86.68509928385417,127.39180279379937,10.069124567735646,2.017720445173933,1.0
sarimax,7,107.10059290671234,149.0414445615875,12.440537303011359,2.4591421766211483,1.0
chronos_t5_large,7,184.18149210611986,255.60735330271265,21.394061983076774,4.126298414159041,0.9090909090909091
xgboost_diff,7,198.82320528967253,235.2318403892562,23.094806807138006,4.681257563095396,0.7272727272727273
naive,7,204.2417195638021,246.8458022109958,23.724207888165857,4.662709908966467,0.8181818181818182
sarima,7,205.19043772251874,255.51791610820155,23.83440861930316,4.6341989694388666,0.9090909090909091
moving_average,7,227.34211832682294,299.5001789976441,26.407492496833857,5.187805114415668,0.6363636363636364
tft,7,236.2959244140625,343.6772525992007,27.447544242665533,5.456589065810797,0.5454545454545454
patchtst,7,264.9755406901041,330.25605568846555,30.77889681910665,6.109091851747549,0.7272727272727273
xgboost,7,1634.019755045573,1696.5176303974895,189.80365248032075,46.887391571389465,0.18181818181818182
sarimax,8,120.9774731755241,172.3319150794691,14.052441046475654,2.793078351708663,1.0
chronos2,8,129.64459228515625,188.0226027742845,15.059191949217517,2.9368758879203214,1.0
chronos_t5_large,8,199.7378651936846,313.4221904230367,23.201051416496448,4.397975521789217,1.0
naive,8,216.46671549479166,302.2586574485939,25.14423287384552,4.866077335806004,0.9090909090909091
sarima,8,216.58912208522653,313.1859393330864,25.158451317582486,4.814429072389249,1.0
xgboost_diff,8,217.20071533503014,292.67410184741817,25.22949246153842,5.0810383188646595,0.7272727272727273
